,tag,form,0
834,ORG,"['?', 'sg g', 'sg n', 'sg el']",1
835,ORG,"['?', 'sg g', 'sg n', 'sg g', 'sg all']",1
836,ORG,"['?', 'sg g', 'sg n', 'sg g', 'sg g']",5
837,ORG,"['?', 'sg g', 'sg n', 'sg g', 'sg in']",1
838,ORG,"['?', 'sg g', 'sg n', 'sg g', 'sg n', 'sg in']",1
839,ORG,"['?', 'sg g', 'sg n', 'sg g']",8
840,ORG,"['?', 'sg g', 'sg n', 'sg in']",4
841,ORG,"['?', 'sg g', 'sg n', 'sg n', 'sg n', 'sg g']",1
842,ORG,"['?', 'sg g', 'sg n', 'sg n', 'sg n']",2
843,ORG,"['?', 'sg g', 'sg n', 'sg n', 'sg p']",1
844,ORG,"['?', 'sg g', 'sg n', 'sg n']",17
845,ORG,"['?', 'sg g', 'sg n']",335
52,LOC,"['?', 'sg g', 'sg n']",4
2882,PER,"['?', 'sg g', 'sg n']",4
846,ORG,"['?', 'sg g', 'sg p', 'sg n', '', 'sg n']",1
847,ORG,"['?', 'sg g', 'sg p']",9
848,ORG,"['?', 'sg g', 'sg tr', '']",1
849,ORG,"['?', 'sg g', 'sg tr']",2
850,ORG,"['?', 'sg g', 'tud', 'pl g']",1
851,ORG,"['?', 'sg g']",3252
2883,PER,"['?', 'sg g']",368
53,LOC,"['?', 'sg g']",303
852,ORG,"['?', 'sg ill']",40
54,LOC,"['?', 'sg ill']",4
2884,PER,"['?', 'sg ill']",5
853,ORG,"['?', 'sg in', '', '', 'sg g']",1
854,ORG,"['?', 'sg in', '']",3
855,ORG,"['?', 'sg in', '?', 'sg g']",1
856,ORG,"['?', 'sg in', '?']",3
857,ORG,"['?', 'sg in', 'pl g', 'sg g', 'sg g']",1
858,ORG,"['?', 'sg in', 'sg g', 'adt', 'sg n', 'sg in']",1
859,ORG,"['?', 'sg in', 'sg g', 'sg g', 'sg g']",2
860,ORG,"['?', 'sg in', 'sg g', 'sg g', 'sg n']",1
861,ORG,"['?', 'sg in', 'sg g', 'sg g']",1
862,ORG,"['?', 'sg in', 'sg g', 'sg in']",2
863,ORG,"['?', 'sg in', 'sg g']",5
864,ORG,"['?', 'sg in', 'sg ill']",1
865,ORG,"['?', 'sg in', 'sg in']",6
55,LOC,"['?', 'sg in', 'sg in']",1
2885,PER,"['?', 'sg in', 'sg in']",1
866,ORG,"['?', 'sg in', 'sg n', 'sg ad']",2
867,ORG,"['?', 'sg in', 'sg n', 'sg g']",2
868,ORG,"['?', 'sg in', 'sg n', 'sg kom']",1
869,ORG,"['?', 'sg in', 'sg n', 'sg n', 'sg in']",1
870,ORG,"['?', 'sg in', 'sg n', 'sg n', 'sg n']",2
871,ORG,"['?', 'sg in', 'sg n', 'sg n']",3
872,ORG,"['?', 'sg in', 'sg n', 'sg p']",1
873,ORG,"['?', 'sg in', 'sg n']",3
874,ORG,"['?', 'sg in', 'sg p', 'sg g', 'sg g']",1
2886,PER,"['?', 'sg in']",15
56,LOC,"['?', 'sg in']",206
875,ORG,"['?', 'sg in']",649
876,ORG,"['?', 'sg kom', 'sg g']",2
877,ORG,"['?', 'sg kom', 'sg p', 'sg g']",1
2887,PER,"['?', 'sg kom']",18
878,ORG,"['?', 'sg kom']",101
57,LOC,"['?', 'sg kom']",7
879,ORG,"['?', 'sg n', '', '', '', '?', 'sg n']",1
