,lemma,tag,0
870,Arbili,PER,7
871,Arbonale,LOC,1
872,Arbonale,ORG,1
873,Arbonale,PER,7
874,Arbuzov,ORG,1
875,Arbuzov,PER,1
876,Architectural Review,ORG,1
877,Architectural Review,PER,2
878,Arco,LOC,1
879,Arco,PER,2
880,Arco AS,ORG,1
881,Arco AS,PER,1
882,Arco Invest,ORG,1
883,Arco Invest,PER,1
884,ArcoVara,ORG,1
885,ArcoVara,PER,4
886,Ardi Sillar,ORG,1
887,Ardi Sillar,PER,11
888,Ardo Ran Varres,ORG,10
889,Ardo Ran Varres,PER,6
890,Ardo nõmm,ORG,1
891,Ardo nõmm,PER,1
892,Ardu,LOC,6
893,Ardu,ORG,2
894,Ardu,PER,1
895,Are,LOC,6
896,Are,ORG,2
897,Are,PER,7
898,Are Kaurit,ORG,3
899,Are Kaurit,PER,9
900,Are Kauritile-Arvo Laksbergile,ORG,1
901,Are Kauritile-Arvo Laksbergile,PER,1
902,Are Leesik,ORG,1
903,Are Leesik,PER,1
904,Areen,LOC,3
905,Areen,ORG,27
906,Areen,PER,19
907,Aretas,LOC,1
908,Aretas,PER,2
909,Areto,LOC,1
910,Areto,PER,3
911,Argentiina,LOC,185
912,Argentiina,PER,1
913,Argentina,LOC,83
914,Argentina,ORG,1
915,Argentina,PER,3
916,Argo,LOC,1
917,Argo,PER,15
918,Arhitekt,LOC,1
919,Arhitekt,PER,4
920,Arhitekt Liidu,ORG,11
921,Arhitekt Liidu,PER,1
922,Arhitekt Liit,LOC,2
923,Arhitekt Liit,ORG,2
924,Arhitekt liit,LOC,4
925,Arhitekt liit,ORG,8
926,Arhitektuurimuuseum,ORG,2
927,Arhitektuurimuuseum,PER,1
928,Ari-Pekka Nikkola,ORG,2
929,Ari-Pekka Nikkola,PER,9
930,Ariane,ORG,2
931,Ariane,PER,10
932,Arianespace,ORG,3
933,Arianespace,PER,3
934,Ariba,ORG,4
935,Ariba,PER,1
936,Arigon,ORG,1
937,Arigon,PER,1
938,Arista,ORG,8
939,Arista,PER,1
940,Ariste,ORG,2
941,Ariste,PER,7
942,Arka,LOC,1
943,Arka,PER,1
944,Arkaadi,LOC,2
945,Arkaadi,ORG,1
946,Arkaadi,PER,2
947,Arlanda,LOC,5
948,Arlanda,ORG,1
949,Arlecchino,ORG,1
950,Arlecchino,PER,1
951,Arlekiin,ORG,3
952,Arlekiin,PER,4
953,Arnau Boetsch,ORG,2
954,Arnau Boetsch,PER,7
955,Arnau Dautrempuis,ORG,3
956,Arnau Dautrempuis,PER,1
957,Arno,LOC,3
958,Arno,ORG,4
959,Arno,PER,79
960,Arno Mägi,ORG,2
961,Arno Mägi,PER,27
962,Arno Saar,LOC,1
963,Arno Saar,PER,3
964,Arno Tali,ORG,1
965,Arno Tali,PER,6
966,Arrak,LOC,1
967,Arrak,PER,24
968,Arrows,LOC,1
969,Arrows,ORG,1
970,Arrows,PER,2
